Module,Day,Stability(%),ProcessorSpeed(%),Capability(%),Constraint
Pi0Archive,1,99.9828,98.1,99.55,None
Pi0Archive,2,99.9847,100.71,100.78,None
Pi0Archive,3,99.9784,98.12,99.44,None
Pi0Archive,4,99.9705,98.8,100.3,None
Pi0Archive,5,99.9744,100.36,100.62,None
Pi0Archive,6,99.9861,100.79,99.68,None
Pi0Archive,7,99.9891,99.35,99.19,None
Pi0Archive,8,99.9869,100.41,100.61,Thermal
Pi0Archive,9,99.9807,101.89,99.76,None
Pi0Archive,10,99.9866,100.47,100.72,None
Pi0Archive,11,99.9841,98.18,99.46,None
Pi0Archive,12,99.9716,98.93,99.2,None
Pi0Archive,13,99.9827,99.46,99.74,None
Pi0Archive,14,99.9753,101.75,100.3,None
Pi0Archive,15,99.9734,100.92,99.33,None
Pi0Archive,16,99.9898,100.56,100.11,None
Pi0Archive,17,99.9869,101.1,99.46,None
Pi0Archive,18,99.9763,99.07,99.42,Scaling
Pi0Archive,19,99.9875,99.26,100.31,None
Pi0Archive,20,99.9883,99.84,99.53,None
Pi0Archive,21,99.9812,99.05,100.17,Quantum
Pi0Archive,22,99.978,98.88,101.0,None
Pi0Archive,23,99.9718,98.19,99.22,None
Pi0Archive,24,99.9858,99.69,99.13,None
Pi0Archive,25,99.9899,100.12,100.94,Quantum
Pi0Archive,26,99.9702,100.88,100.36,None
Pi0Archive,27,99.9753,100.56,99.22,None
Pi0Archive,28,99.9791,101.82,100.75,None
Pi0Archive,29,99.98,98.71,100.83,Quantum
Pi0Archive,30,99.976,100.56,100.22,None
Pi0Archive,31,99.9853,100.16,100.56,None
Pi0Archive,32,99.97,99.3,99.04,Scaling
Pi0Archive,33,99.9876,101.33,99.62,None
Pi0Archive,34,99.9876,101.79,99.17,None
Pi0Archive,35,99.9714,101.04,100.53,None
Pi0Archive,36,99.9795,100.2,99.53,Quantum
Pi0Archive,37,99.9785,98.85,100.08,Thermal
Pi0Archive,38,99.974,99.25,100.99,None
Pi0Archive,39,99.9788,100.07,99.24,None
