Module,StabilityMean(%),StabilityMin(%),StabilityMax(%),SpeedMean(%),CapabilityMean(%),MostCommonConstraint
Pi0Archive,99.9804,99.97,99.9899,99.98,99.99,None
allPi0Id,99.9801,99.9701,99.99,100.12,100.08,None
Qpi0n,99.9796,99.9702,99.9894,99.79,100.05,None
Wepi0n,99.9799,99.9702,99.99,100.03,100.01,None
Epi0n,99.9796,99.9701,99.9897,100.07,99.93,None
Gpi0n,99.9803,99.97,99.9899,99.69,100.02,None
H2Zero0,99.9804,99.97,99.9899,100.05,99.98,None
H2Sn0w,99.9806,99.9702,99.9896,99.91,100.04,None
KernelManager,99.9797,99.9701,99.99,99.95,99.94,None
ThermalController,99.9788,99.9704,99.9899,100.06,100.0,None
UCLLanguage,99.9793,99.97,99.9899,100.04,100.08,None
Pi0Comms,99.98,99.9701,99.9899,100.02,100.06,None
Pi0Secure,99.9805,99.9706,99.9899,100.02,99.87,None
Dimension12,99.9798,99.9704,99.9899,100.27,100.02,None
4Sight,99.9799,99.9703,99.9897,99.99,100.03,None
UniversalScaleScope,99.9798,99.9703,99.99,100.15,99.93,None
Epi0_agents,99.9802,99.97,99.99,100.06,100.04,None
Pi0Aidr,99.9796,99.97,99.9898,100.06,100.06,None
